url,page_type,title,title_len,meta_description,desc_len,h1,h2_count,word_count,indexable,canonical,internal_links,images,images_no_alt,schema,content_status,thin
/404.html,404,Page not found | New Yono Apps,30,The page you were looking for does not exist.,45,Page not found,4,180,no,https://games.newyono-apps.in/404.html,20,0,0,,complete,yes
/games/101z.html,game,101z — Slots App Details and Guide | New Yono Apps,50,"101z is a slots and 777 app listed in the Yono directory. Check its category and platform details, and browse related slots titles in the same section.",151,101z — Slots App Details,5,254,no,https://games.newyono-apps.in/games/101z.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/567-slots.html,game,567 Slots — Slots App Details and Guide | New Yono Apps,55,"567 Slots is a slots and 777 app listed in the Yono directory. Check its category and platform details, and browse related slots titles in the same.",148,567 Slots — Slots App Details,5,257,no,https://games.newyono-apps.in/games/567-slots.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/777-game.html,game,777 Game — Slots App Details and Guide | New Yono Apps,54,"777 Game is a slots and 777 app listed in the Yono directory. Check its category and platform details, and browse related slots titles in the same section.",155,777 Game — Slots App Details,5,257,no,https://games.newyono-apps.in/games/777-game.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/789-jackpots.html,game,789 Jackpots — Slots App Details and Guide | New Yono Apps,58,"789 Jackpots is a slots and 777 app listed in the Yono directory. Check its category and platform details, and browse related slots titles in the same.",151,789 Jackpots — Slots App Details,5,257,no,https://games.newyono-apps.in/games/789-jackpots.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/abc-rummy.html,game,ABC Rummy — Rummy App Details and Guide | New Yono Apps,55,"ABC Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",148,ABC Rummy — Rummy App Details,5,239,no,https://games.newyono-apps.in/games/abc-rummy.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/arcade-and-casual.html,category,Yono Arcade and Casual — 13 Apps Listed | New Yono Apps,55,All 13 arcade and casual titles in the Yono app directory. Mixed-game hubs and casual titles that bundle several smaller games into a single app rather.,152,Arcade &amp; Casual,4,271,yes,https://games.newyono-apps.in/games/arcade-and-casual.html,33,13,0,BreadcrumbList+CollectionPage,complete,yes
/games/bet-213-slots.html,game,Bet 213 Slots — Slots App Details and Guide | New Yono Apps,59,"Bet 213 Slots is a slots and 777 app listed in the Yono directory. Check its category and platform details, and browse related slots titles in the same.",152,Bet 213 Slots — Slots App Details,5,260,no,https://games.newyono-apps.in/games/bet-213-slots.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/bingo-101.html,game,Bingo 101 — Bingo App Details and Guide | New Yono Apps,55,"Bingo 101 is a bingo app listed in the Yono directory. Check its category and platform details, and browse related bingo titles in the same section.",148,Bingo 101 — Bingo App Details,5,230,no,https://games.newyono-apps.in/games/bingo-101.html,21,2,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/bingo.html,category,Yono Bingo — 2 Apps Listed | New Yono Apps,42,"All 2 bingo titles in the Yono app directory. Number-draw titles where players mark off numbers on a card as they are called, aiming to complete a winning.",155,Bingo,4,206,yes,https://games.newyono-apps.in/games/bingo.html,22,2,0,BreadcrumbList+CollectionPage,complete,yes
/games/boss-rummy.html,game,Boss Rummy — Rummy App Details and Guide | New Yono Apps,56,"Boss Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",149,Boss Rummy — Rummy App Details,5,239,no,https://games.newyono-apps.in/games/boss-rummy.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/club-inr.html,game,Club INR — Teen Patti App Details and Guide | New Yono Apps,59,"Club INR is a teen patti and vip club app listed in the Yono directory. See its category and platform details, plus related teen patti titles here.",147,Club INR — Teen Patti App Details,5,277,no,https://games.newyono-apps.in/games/club-inr.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/dhan-game.html,game,Dhan Game — Arcade App Details and Guide | New Yono Apps,56,"Dhan Game is a arcade and casual app listed in the Yono directory. Check its category and platform details, and browse related arcade titles in the same.",153,Dhan Game — Arcade App Details,5,257,no,https://games.newyono-apps.in/games/dhan-game.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/diwa-777.html,game,Diwa 777 — Slots App Details and Guide | New Yono Apps,54,"Diwa 777 is a slots and 777 app listed in the Yono directory. Check its category and platform details, and browse related slots titles in the same section.",155,Diwa 777 — Slots App Details,5,256,no,https://games.newyono-apps.in/games/diwa-777.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/diwa-game.html,game,Diwa Game — Arcade App Details and Guide | New Yono Apps,56,"Diwa Game is a arcade and casual app listed in the Yono directory. Check its category and platform details, and browse related arcade titles in the same.",153,Diwa Game — Arcade App Details,5,257,no,https://games.newyono-apps.in/games/diwa-game.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/diwa-king.html,game,Diwa King — Arcade App Details and Guide | New Yono Apps,56,"Diwa King is a arcade and casual app listed in the Yono directory. Check its category and platform details, and browse related arcade titles in the same.",153,Diwa King — Arcade App Details,5,257,no,https://games.newyono-apps.in/games/diwa-king.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/diwa-lucky.html,game,Diwa Lucky — Arcade App Details and Guide | New Yono Apps,57,"Diwa Lucky is a arcade and casual app listed in the Yono directory. Check its category and platform details, and browse related arcade titles in the same.",154,Diwa Lucky — Arcade App Details,5,257,no,https://games.newyono-apps.in/games/diwa-lucky.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/diwa-play.html,game,Diwa Play — Arcade App Details and Guide | New Yono Apps,56,"Diwa Play is a arcade and casual app listed in the Yono directory. Check its category and platform details, and browse related arcade titles in the same.",153,Diwa Play — Arcade App Details,5,257,no,https://games.newyono-apps.in/games/diwa-play.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/diwa-slots.html,game,Diwa Slots — Slots App Details and Guide | New Yono Apps,56,"Diwa Slots is a slots and 777 app listed in the Yono directory. Check its category and platform details, and browse related slots titles in the same.",149,Diwa Slots — Slots App Details,5,256,no,https://games.newyono-apps.in/games/diwa-slots.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/diwa-top.html,game,Diwa Top — Arcade App Details and Guide | New Yono Apps,55,"Diwa Top is a arcade and casual app listed in the Yono directory. Check its category and platform details, and browse related arcade titles in the same.",152,Diwa Top — Arcade App Details,5,257,no,https://games.newyono-apps.in/games/diwa-top.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/diwa-vip.html,game,Diwa VIP — Teen Patti App Details and Guide | New Yono Apps,59,"Diwa VIP is a teen patti and vip club app listed in the Yono directory. See its category and platform details, plus related teen patti titles here.",147,Diwa VIP — Teen Patti App Details,5,277,no,https://games.newyono-apps.in/games/diwa-vip.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/diwa-win.html,game,Diwa Win — Arcade App Details and Guide | New Yono Apps,55,"Diwa Win is a arcade and casual app listed in the Yono directory. Check its category and platform details, and browse related arcade titles in the same.",152,Diwa Win — Arcade App Details,5,257,no,https://games.newyono-apps.in/games/diwa-win.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
/games/en-365.html,game,EN 365 — App Details and Guide | New Yono Apps,46,"EN 365 is a multi-game platforms app listed in the Yono directory. See its category and platform details, plus related multi-game platforms titles here.",152,EN 365 — Multi-Game Platforms App Details,5,248,no,https://games.newyono-apps.in/games/en-365.html,24,5,0,BreadcrumbList+SoftwareApplication,structure only - copy pending,yes
